Main Category,Sub-Category,Most_Efficient,#,Product URL,Product Name,Model,Description,Efficiency,Features,Size,Lighting,Market,Additional Model Identification,ENERGY STAR Unique ID,UPC Codes,Additional Model Names and/or Numbers,PDF File URL
Appliances,Dehumidifiers,No,9,https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2856558,Santa Fe - Ultra98 : 4034240,,"Dehumidifier Type: Whole-home Dehumidifier
Dehumidifier Water Removal Capacity (pints/day): 67.51
Whole-home Dehumidifier Case Volume (ft3): 4.2",Dehumidifier Efficiency (Integrated Energy Factor - L/kWh): 2.21,"ENERGY STAR Certified: Yes
Most Efficient  : No",,,Date Available on Market: 04/01/2015 Markets: United States,ENERGY STAR Unique ID: 2856558,2856558,085267344838,",Guardian SNS90,",https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2856558/export/pdf/download
Appliances,Dehumidifiers,Yes,1,https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2376708,CARRIER CORPORATION - DEHXXCDA1100*,,"Dehumidifier Type: Whole-home Dehumidifier
Dehumidifier Water Removal Capacity (pints/day): 85.0
Whole-home Dehumidifier Case Volume (ft3): 3.3",Dehumidifier Efficiency (Integrated Energy Factor - L/kWh): 2.35,"ENERGY STAR Certified: Yes
Most Efficient  
:",,,Date Available on Market: 04/15/2021 Markets: United States,"ENERGY STAR Unique ID: 2376708
Additional Model Names and/or Numbers: ,,* - refrigerant and pallet quantities",2376708,686720006500,",,* - refrigerant and pallet quantities",https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2376708/export/pdf/download
Appliances,Residential Clothes Dryers,No,136,https://www.energystar.gov/productfinder/product/certified-clothes-dryers/details/2397439,Blomberg - DHP24404W,,"Fuel Type: Electric
Product Type: Electric Standard Ventless
Laundry Center: No
Combination All-in-One Washer-Dryer: No
Blomberg - WM98220SX*
Additional Dryer Features: Sanitization cycle,Filter cleaning indicator,Steam cycle,Drum light,Time remaining display,Remote Control
Refrigerant Type: R-290 (3)","Combined Energy Factor (CEF): 11.0
Estimated Annual Energy Use (kWh/yr): 217
Estimated Energy Test Cycle Time (min): 67","Heat Pump Technology: Heat Pump
Vented or Ventless: Ventless Connected: No
ENERGY STAR Certified: Yes
Most Efficient  
:","Drum Capacity (cu-ft): 4.5
Height (inches): 34.0
Width (inches): 23.5
Depth (inches): 27.5",,"CB Model Identifier: ES_1036108_DHP24404W_052420221513147_6756452
Date Available on Market: 05/15/2022
Date Certified: 06/14/2022 Markets: United States, Canada","ENERGY STAR Unique ID: 2397439
UPC Codes: 7188287440",2397439,7188287440,",PFQ83HSSWWW,White",https://www.energystar.gov/productfinder/product/certified-clothes-dryers/details/2397439/export/pdf/download
Appliances,Residential Clothes Dryers,Yes,149,https://www.energystar.gov/productfinder/product/certified-clothes-dryers/details/3354795,Bosch - WQB245AXUC,,"Fuel Type: Electric
Product Type: Electric Compact Ventless 240V
Laundry Center: No
Combination All-in-One Washer-Dryer: No
Additional Dryer Features: Sanitization cycle,Drum light,Time remaining display,Wrinkle prevention option
Refrigerant Type: R-290 (3)","Combined Energy Factor (CEF): 6.97
Estimated Annual Energy Use (kWh/yr): 122
Estimated Energy Test Cycle Time (min): 42","Heat Pump Technology: Heat Pump
Vented or Ventless: Ventless Connected: Yes
ENERGY STAR Certified: Yes
Most Efficient  
:","Drum Capacity (cu-ft): 3.9
Height (inches): 32.5
Width (inches): 23.6
Depth (inches): 25.0",,"CB Model Identifier: ES_31649_WQB245AXUC_11142023091603_2938806
Date Available on Market: 04/01/2024
Date Certified: 01/04/2024 Markets: United States, Canada","ENERGY STAR Unique ID: 3354795
UPC Codes: 825225971764, 825225971771
Additional Model Names and/or Numbers: ,WQB245B0UC,",3354795,"825225971764, 825225971771",",WQB245B0UC,",https://www.energystar.gov/productfinder/product/certified-clothes-dryers/details/3354795/export/pdf/download
Appliances,Residential Clothes Washers,No,265,https://www.energystar.gov/productfinder/product/certified-clothes-washers/details/3555309,Electrolux - ELFW7738AA,,"Load Configuration: Front Load
Paired ENERGY STAR Certified Clothes Dryer(s): var curl = ""/productfinder/product/certified-clothes-dryers/esum-data/"" + encodeURIComponent(""ES_1021080_ELFE7738***_041920241457518_2906177"");
Electrolux - ELFE7738***","Annual Washer Energy Use (kWh/yr): 74
Integrated Modified Energy Factor (IMEF): 3.2
Annual Water Use (gallons/yr): 3452
Integrated Water Factor (IWF): 2.6
US Federal Standard (IMEF): 1.84
US Federal Standard (IWF): 4.7","Connected: No
ENERGY STAR Certified: Yes
Most Efficient  
:","Volume (cu. ft.): 4.5
Width (inches): 27.0",,"Date Certified: 07/26/2024 Markets: United States, Canada
ENERGY STAR Model Identifier: ES_1021080_ELFW7738AA_071920241312224_9979454","ENERGY STAR Unique ID: 3555309
UPC Codes: 12505388989",3555309,12505388989,",PFW870SPVRS,; ,PFW870SSVWW,",https://www.energystar.gov/productfinder/product/certified-clothes-washers/details/3555309/export/pdf/download
Appliances,Residential Clothes Washers,Yes,774,https://www.energystar.gov/productfinder/product/certified-clothes-washers/details/2363886,Bosch - WAW285H1UC,,"Load Configuration: Front Load
Bosch - WTW87NH1UC","Annual Washer Energy Use (kWh/yr): 84
Integrated Modified Energy Factor (IMEF): 2.2
Annual Water Use (gallons/yr): 2379
Integrated Water Factor (IWF): 3.7
US Federal Standard (IMEF): 1.84
US Federal Standard (IWF): 4.7","Connected: Yes
Connects Using: Wi-Fi
ENERGY STAR Certified: Yes
Most Efficient  
:","Volume (cu. ft.): 2.2
Width (inches): 23.5",,"Date Certified: 07/31/2020 Markets: United States, Canada
ENERGY STAR Model Identifier: ES_31649_WAW285H1UC_07082020145146_4616052","ENERGY STAR Unique ID: 2363886
UPC Codes: 825225963233",2363886,825225963233,,https://www.energystar.gov/productfinder/product/certified-clothes-washers/details/2363886/export/pdf/download
Appliances,Residential Dishwashers,No,437,https://www.energystar.gov/productfinder/product/certified-residential-dishwashers/details/2589938,Fisher & Paykel - DD24STX6PX1,,"Type: Compact
Capacity - Maximum Number of Place Settings: 7
Drying Method: Fan-Assisted Dry
Tub Material: Stainless Steel","Annual Energy Use (kWh/yr): 114
US Federal Standard (kWh/yr): 222
% Better than US Federal Standard (kWh/yr): 49%
Water Use (gallons/cycle): 1.59
US Federal Standard (gallons/cycle): 3.5
% Better than US Federal Standard (gallons/cycle): 55%","Soil-Sensing Capability: No
Additional Product Features: Top Controls
Connected Capable: No
ENERGY STAR Certified: Yes
Most Efficient  : No","Depth (inches): 27.8
Width (inches): 23.6",,"Markets: United States, Canada","ENERGY STAR Unique ID: 2589938
UPC Codes: 822843823987",2589938,822843823987,"In-Sink Dishwasher,SD2F-P5L,",https://www.energystar.gov/productfinder/product/certified-residential-dishwashers/details/2589938/export/pdf/download
Appliances,Residential Electric Cooking Products,N/A,569,https://www.energystar.gov/productfinder/product/certified-residential-electric-cooking-products/details/3543286,Bertazzoni - MAS365INMNEV,,"ENERGY STAR Partner: Bertazzoni Spa
Product Type: Range
Installation Type: Freestanding
Cooking Top Technology: Induction
Width (inches): 36.0
Height (inches): 32.0
Depth (inches): 27.0
Number of Cooking Zones: 5
Control Type: Knobs
Voltage (volts): 240 V
Amperage (amps): 60","Annual Energy Consumption (kWh/year): 187
Low-Power Mode Energy Consumption for Oven Component (kWh/year): 1.0
Low-Power Mode Energy Consumption for Cooking Top (kWh/year): 2.0
Average Cooking Zone Time (minutes): 8.0
Cooking Zone #1 Size (inches): 8.46
Cooking Zone #2 Size (inches): 6.3
Cooking Zone #3 Size (inches): 8.27
Cooking Zone #4 Size (inches): 8.46
Cooking Zone #5 Size (inches): 8.27
Cooking Zone #1 Wattage (watts): 1850
Cooking Zone #2 Wattage (watts): 1400
Cooking Zone #3 Wattage (watts): 2100
Cooking Zone #4 Wattage (watts): 1850
Cooking Zone #5 Wattage (watts): 2100","Specialty Zones: Bridge Element
Additional Product Features: None
ENERGY STAR Certified: Yes",,,"Date Available On Market: 06/01/2024
Date Certified: 06/05/2024 Markets: United States","ENERGY STAR Unique ID: 3543286
UPC Codes: 8057971104529
Additional Model Names and/or Numbers: S30JJEB1NE,,",3543286,8057971104529,"S30JJEB1NE,,",https://www.energystar.gov/productfinder/product/certified-residential-electric-cooking-products/details/3543286/export/pdf/download
Appliances,Residential Freezers,No,644,https://www.energystar.gov/productfinder/product/certified-residential-freezers/details/2255167,Avanti - CF24Q0W,,"Type: Compact
Defrost Type: Manual
Refrigerant Type: Not Available","Annual Energy Use (kWh/yr): 137
US Federal Standard (kWh/yr): 178","Built-in: No
Thru the Door Dispenser: No
Ice Maker: No
Connected Functionality: No
ENERGY STAR Certified: Yes
Most Efficient  
:","Compact: Yes
Capacity (Total Volume) (ft3): 2.5",,"Date Available On Market: 01/15/2016
Date Certified: 12/18/2015 Markets: United States, Canada",ENERGY STAR Unique ID: 2255167,2255167,067638000888,",DCF051A3WDD,",https://www.energystar.gov/productfinder/product/certified-residential-freezers/details/2255167/export/pdf/download
Appliances,Residential Refrigerators,No,820,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/3531094,Fisher & Paykel - RS2435V2*,,"Type: Compact Cooler Built-in: Yes
Thru the Door Dispenser: No
Ice Maker: No
Refrigerant Type: R-600a (3)","Annual Energy Use (kWh/yr): 42
US Federal Standard (kWh/yr): 190","Connected Functionality: No
ENERGY STAR Certified: Yes
Most Efficient  : No","Compact: Yes
Counter Depth: No
Height (in): 35.3
Width (in): 23.3
Capacity (Total Volume) (ft3): 4.3",,"Date Available On Market: 07/01/2024
Date Certified: 05/24/2024 Markets: United States, Canada","ENERGY STAR Unique ID: 3531094
UPC Codes: 822843267057",3531094,822843267057,"C40P2,C40P2,",https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details/3531094/export/pdf/download
