Date,Location,Temperature,WeatherEvent,Precipitation
2020-01-01,City_1,67.1,Clear,0.0
2020-01-02,City_1,54.9,Clear,0.0
2020-01-03,City_1,56.8,Clear,0.0
2020-01-04,City_1,61.2,Clear,0.0
2020-01-05,City_1,65.5,Rain,0.84
2020-01-06,City_1,64.8,Clear,0.0
2020-01-07,City_1,66.0,Clear,0.0
2020-01-08,City_1,61.5,Rain,0.77
2020-01-09,City_1,62.0,Rain,0.0
2020-01-10,City_1,62.3,Clear,0.0
2020-01-11,City_1,66.5,Windy,0.0
2020-01-12,City_1,69.1,Cloudy,0.0
2020-01-13,City_1,69.1,Clear,0.0
2020-01-14,City_1,64.7,Clear,0.0
2020-01-15,City_1,76.0,Rain,0.85
2020-01-16,City_1,61.6,Clear,0.0
2020-01-17,City_1,68.6,Clear,0.0
2020-01-18,City_1,60.0,Clear,0.0
2020-01-19,City_1,65.9,Clear,0.0
2020-01-20,City_1,70.0,Clear,0.0
2020-01-21,City_1,72.5,Clear,0.0
2020-01-22,City_1,69.1,Clear,0.0
2020-01-23,City_1,63.4,Clear,0.0
2020-01-24,City_1,61.8,Clear,0.0
2020-01-25,City_1,61.4,Clear,0.0
2020-01-26,City_1,70.1,Windy,0.0
2020-01-27,City_1,66.2,Rain,0.09
2020-01-28,City_1,70.9,Cloudy,0.0
2020-01-29,City_1,71.0,Clear,0.0
2020-01-30,City_1,73.2,Clear,0.0
2020-01-31,City_1,70.1,Clear,0.0
2020-02-01,City_1,68.9,Rain,0.1
2020-02-02,City_1,77.3,Fog,0.0
2020-02-03,City_1,66.1,Clear,0.0
2020-02-04,City_1,72.6,Fog,0.0
2020-02-05,City_1,65.4,Rain,1.17
2020-02-06,City_1,75.7,Clear,0.0
2020-02-07,City_1,82.8,Clear,0.0
2020-02-08,City_1,67.6,Clear,0.0
2020-02-09,City_1,70.0,Rain,0.97
2020-02-10,City_1,69.8,Clear,0.0
2020-02-11,City_1,86.0,Clear,0.0
2020-02-12,City_1,74.8,Clear,0.0
2020-02-13,City_1,77.3,Clear,0.0
2020-02-14,City_1,80.3,Clear,0.0
2020-02-15,City_1,78.3,Cloudy,0.0
2020-02-16,City_1,73.6,Rain,0.03
2020-02-17,City_1,81.2,Clear,0.0
2020-02-18,City_1,67.6,Rain,0.0
2020-02-19,City_1,82.7,Clear,0.0
2020-02-20,City_1,70.5,Clear,0.0
2020-02-21,City_1,79.8,Rain,1.79
2020-02-22,City_1,78.4,Clear,0.0
2020-02-23,City_1,70.5,Fog,0.0
2020-02-24,City_1,72.3,Clear,0.0
2020-02-25,City_1,72.8,Clear,0.0
2020-02-26,City_1,79.2,Clear,0.0
2020-02-27,City_1,71.5,Clear,0.0
2020-02-28,City_1,90.4,Clear,0.0
2020-02-29,City_1,78.7,Thunderstorm,1.48
2020-03-01,City_1,75.0,Clear,0.0
2020-03-02,City_1,76.0,Clear,0.0
2020-03-03,City_1,76.5,Clear,0.0
2020-03-04,City_1,75.3,Rain,0.49
2020-03-05,City_1,75.0,Rain,0.0
2020-03-06,City_1,69.8,Rain,0.4
2020-03-07,City_1,72.3,Rain,0.37
2020-03-08,City_1,73.9,Clear,0.0
2020-03-09,City_1,86.2,Clear,0.0
2020-03-10,City_1,67.8,Cloudy,0.0
2020-03-11,City_1,73.2,Windy,0.0
2020-03-12,City_1,76.9,Clear,0.0
2020-03-13,City_1,74.0,Clear,0.0
2020-03-14,City_1,77.3,Clear,0.0
2020-03-15,City_1,80.2,Clear,0.0
2020-03-16,City_1,74.5,Clear,0.0
2020-03-17,City_1,80.8,Rain,1.63
2020-03-18,City_1,86.1,Clear,0.0
2020-03-19,City_1,84.4,Thunderstorm,0.54
2020-03-20,City_1,84.8,Clear,0.0
2020-03-21,City_1,73.3,Rain,0.0
2020-03-22,City_1,75.0,Clear,0.0
2020-03-23,City_1,73.4,Rain,0.0
2020-03-24,City_1,75.7,Rain,1.46
2020-03-25,City_1,79.0,Clear,0.0
2020-03-26,City_1,73.2,Windy,0.0
2020-03-27,City_1,77.8,Thunderstorm,2.47
2020-03-28,City_1,82.9,Clear,0.0
2020-03-29,City_1,74.6,Rain,0.98
2020-03-30,City_1,74.5,Clear,0.0
2020-03-31,City_1,74.6,Rain,0.24
2020-04-01,City_1,76.6,Clear,0.0
2020-04-02,City_1,74.9,Rain,1.07
2020-04-03,City_1,61.9,Rain,1.32
2020-04-04,City_1,74.3,Rain,1.28
2020-04-05,City_1,83.0,Clear,0.0
2020-04-06,City_1,75.6,Rain,0.43
2020-04-07,City_1,68.1,Clear,0.0
2020-04-08,City_1,80.2,Clear,0.0
2020-04-09,City_1,71.2,Clear,0.0
2020-04-10,City_1,77.0,Clear,0.0
2020-04-11,City_1,87.3,Clear,0.0
2020-04-12,City_1,69.6,Clear,0.0
2020-04-13,City_1,73.5,Rain,0.71
2020-04-14,City_1,66.0,Clear,0.0
2020-04-15,City_1,78.3,Clear,0.0
2020-04-16,City_1,74.7,Rain,0.0
2020-04-17,City_1,79.6,Clear,0.0
2020-04-18,City_1,75.5,Clear,0.0
2020-04-19,City_1,75.6,Clear,0.0
2020-04-20,City_1,78.1,Clear,0.0
2020-04-21,City_1,73.4,Clear,0.0
2020-04-22,City_1,78.4,Fog,0.0
2020-04-23,City_1,70.9,Clear,0.0
2020-04-24,City_1,66.3,Rain,0.8
2020-04-25,City_1,79.1,Clear,0.0
2020-04-26,City_1,74.8,Clear,0.0
2020-04-27,City_1,67.8,Rain,1.18
2020-04-28,City_1,66.8,Clear,0.0
2020-04-29,City_1,72.1,Clear,0.0
2020-04-30,City_1,72.7,Rain,0.79
2020-05-01,City_1,72.5,Clear,0.0
2020-05-02,City_1,76.1,Clear,0.0
2020-05-03,City_1,64.1,Clear,0.0
2020-05-04,City_1,67.2,Clear,0.0
2020-05-05,City_1,63.4,Rain,0.34
2020-05-06,City_1,72.2,Cloudy,0.0
2020-05-07,City_1,68.1,Clear,0.0
2020-05-08,City_1,74.7,Windy,0.0
2020-05-09,City_1,60.0,Clear,0.0
2020-05-10,City_1,67.4,Rain,0.0
2020-05-11,City_1,64.8,Clear,0.0
2020-05-12,City_1,62.2,Clear,0.0
2020-05-13,City_1,73.2,Clear,0.0
2020-05-14,City_1,65.3,Clear,0.0
2020-05-15,City_1,63.1,Rain,0.67
2020-05-16,City_1,58.8,Windy,0.0
2020-05-17,City_1,64.5,Clear,0.0
2020-05-18,City_1,54.7,Rain,1.48
2020-05-19,City_1,71.5,Rain,0.0
2020-05-20,City_1,62.7,Clear,0.0
2020-05-21,City_1,64.3,Clear,0.0
2020-05-22,City_1,63.9,Clear,0.0
2020-05-23,City_1,59.2,Rain,0.0
2020-05-24,City_1,68.2,Rain,0.13
2020-05-25,City_1,55.6,Clear,0.0
2020-05-26,City_1,64.2,Clear,0.0
2020-05-27,City_1,64.5,Clear,0.0
2020-05-28,City_1,69.5,Fog,0.0
2020-05-29,City_1,62.7,Clear,0.0
2020-05-30,City_1,55.6,Windy,0.0
2020-05-31,City_1,55.8,Rain,0.74
2020-06-01,City_1,59.5,Clear,0.0
2020-06-02,City_1,61.1,Clear,0.0
2020-06-03,City_1,58.1,Clear,0.0
2020-06-04,City_1,59.6,Clear,0.0
2020-06-05,City_1,56.4,Clear,0.0
2020-06-06,City_1,54.8,Rain,0.99
2020-06-07,City_1,58.3,Clear,0.0
2020-06-08,City_1,48.4,Clear,0.0
2020-06-09,City_1,62.5,Rain,0.05
2020-06-10,City_1,42.9,Rain,0.47
2020-06-11,City_1,47.7,Clear,0.0
2020-06-12,City_1,49.9,Clear,0.0
2020-06-13,City_1,49.6,Clear,0.0
2020-06-14,City_1,49.5,Clear,0.0
2020-06-15,City_1,54.3,Clear,0.0
2020-06-16,City_1,51.1,Rain,0.95
2020-06-17,City_1,53.2,Clear,0.0
2020-06-18,City_1,46.4,Clear,0.0
2020-06-19,City_1,53.2,Cloudy,0.0
2020-06-20,City_1,45.2,Rain,0.73
2020-06-21,City_1,48.7,Clear,0.0
2020-06-22,City_1,42.5,Rain,0.0
2020-06-23,City_1,54.8,Rain,0.0
2020-06-24,City_1,51.2,Clear,0.0
2020-06-25,City_1,43.7,Clear,0.0
2020-06-26,City_1,46.2,Clear,0.0
2020-06-27,City_1,54.7,Clear,0.0
2020-06-28,City_1,42.9,Clear,0.0
2020-06-29,City_1,44.6,Rain,0.02
2020-06-30,City_1,44.8,Clear,0.0
2020-07-01,City_1,39.5,Rain,0.99
2020-07-02,City_1,39.4,Rain,0.0
2020-07-03,City_1,49.7,Fog,0.0
2020-07-04,City_1,46.5,Clear,0.0
2020-07-05,City_1,43.2,Rain,1.0
2020-07-06,City_1,38.5,Rain,0.25
2020-07-07,City_1,50.3,Clear,0.0
2020-07-08,City_1,33.9,Rain,0.49
2020-07-09,City_1,46.5,Clear,0.0
2020-07-10,City_1,47.7,Rain,0.86
2020-07-11,City_1,43.2,Clear,0.0
2020-07-12,City_1,39.4,Windy,0.0
2020-07-13,City_1,40.3,Rain,0.0
2020-07-14,City_1,30.4,Rain,0.67
2020-07-15,City_1,42.4,Clear,0.0
2020-07-16,City_1,44.4,Rain,0.74
2020-07-17,City_1,31.3,Snow,0.93
2020-07-18,City_1,43.9,Rain,0.81
2020-07-19,City_1,33.9,Clear,0.0
2020-07-20,City_1,38.8,Clear,0.0
2020-07-21,City_1,39.2,Rain,0.08
2020-07-22,City_1,43.1,Rain,0.48
2020-07-23,City_1,31.9,Snow,0.0
2020-07-24,City_1,37.9,Clear,0.0
2020-07-25,City_1,38.7,Clear,0.0
2020-07-26,City_1,35.6,Clear,0.0
2020-07-27,City_1,34.4,Clear,0.0
2020-07-28,City_1,34.3,Clear,0.0
2020-07-29,City_1,28.7,Snow,1.11
2020-07-30,City_1,32.9,Rain,0.47
2020-07-31,City_1,40.9,Clear,0.0
2020-08-01,City_1,41.7,Clear,0.0
2020-08-02,City_1,36.7,Clear,0.0
2020-08-03,City_1,36.7,Clear,0.0
2020-08-04,City_1,33.5,Clear,0.0
2020-08-05,City_1,40.8,Rain,0.76
2020-08-06,City_1,31.5,Snow,1.66
2020-08-07,City_1,28.4,Snow,0.0
2020-08-08,City_1,26.6,Snow,0.79
2020-08-09,City_1,34.6,Clear,0.0
2020-08-10,City_1,33.5,Clear,0.0
2020-08-11,City_1,34.8,Clear,0.0
2020-08-12,City_1,39.8,Clear,0.0
2020-08-13,City_1,47.0,Rain,0.54
2020-08-14,City_1,33.7,Rain,0.42
2020-08-15,City_1,31.0,Snow,0.0
2020-08-16,City_1,25.6,Snow,0.0
2020-08-17,City_1,36.0,Fog,0.0
2020-08-18,City_1,22.8,Snow,0.26
2020-08-19,City_1,33.7,Clear,0.0
2020-08-20,City_1,34.6,Rain,0.31
2020-08-21,City_1,37.8,Clear,0.0
2020-08-22,City_1,27.9,Snow,0.0
2020-08-23,City_1,27.7,Snow,0.44
2020-08-24,City_1,27.4,Snow,1.61
2020-08-25,City_1,28.1,Snow,0.0
2020-08-26,City_1,32.0,Clear,0.0
2020-08-27,City_1,33.8,Clear,0.0
2020-08-28,City_1,28.8,Rain,0.5
2020-08-29,City_1,25.3,Rain,0.51
